"name","freq"
"Food","2385"
"Nightlife","2156"
"Bars","2083"
"American (New)","1808"
"Breakfast & Brunch","1534"
"American (Traditional)","1501"
"Sandwiches","1164"
"Italian","1057"
"Mexican","1047"
"Pizza","982"
"Japanese","866"
"Burgers","784"
"Sushi Bars","758"
"Seafood","756"
"Steakhouses","673"
"Cafes","630"
"Asian Fusion","594"
"Chinese","516"
"Barbeque","514"
"Coffee & Tea","494"
"Salad","488"
"Event Planning & Services","462"
"Mediterranean","442"
"Vegetarian","418"
"Thai","396"
"Fast Food","383"
"Desserts","362"
"Wine Bars","343"
"French","333"
"Pubs","332"
"Specialty Food","329"
"Caterers","314"
"Bakeries","308"
"Vegan","292"
"Cocktail Bars","281"
"Buffets","278"
"Delis","272"
"Lounges","262"
"Beer","257"
"Wine & Spirits","257"
"Greek","242"
"Sports Bars","241"
"Diners","240"
"Indian","235"
"Korean","231"
"Middle Eastern","222"
"Tapas/Small Plates","218"
"Arts & Entertainment","213"
"Gluten-Free","211"
"Vietnamese","211"
"Chicken Wings","197"
"Gastropubs","185"
"Canadian (New)","169"
"Southern","153"
"Juice Bars & Smoothies","151"
"Latin American","145"
"Hawaiian","144"
"Breweries","133"
"Comfort Food","131"
"Ethnic Food","127"
"Tex-Mex","122"
"Soup","119"
"Food Delivery Services","118"
"Tapas Bars","117"
"Hot Dogs","112"
"Ice Cream & Frozen Yogurt","107"
"Noodles","107"
"Cajun/Creole","106"
"Music Venues","97"
"Venues & Event Spaces","95"
"Local Flavor","88"
"Ramen","85"
"Soul Food","84"
"Grocery","81"
"Halal","79"
"German","73"
"British","68"
"Spanish","65"
"Bagels","64"
"Caribbean","64"
"Creperies","63"
"Dim Sum","62"
"Pakistani","62"
"Food Trucks","61"
"Beer Bar","60"
"Shopping","59"
"Hotels & Travel","57"
"Irish","52"
"Food Stands","50"
"Bubble Tea","49"
"Brazilian","47"
"Karaoke","47"
"Active Life","46"
"Cheesesteaks","46"
"Fish & Chips","46"
"Taiwanese","44"
"Lebanese","43"
"Hotels","42"
"Tea Rooms","41"
"Casinos","39"
"Dive Bars","39"
"Persian/Iranian","37"
"Brasseries","36"
"Modern European","36"
"Dance Clubs","35"
"Donuts","35"
"Meat Shops","34"
"Party & Event Planning","34"
"Poke","34"
"Smokehouse","34"
"Filipino","33"
"Live/Raw Food","33"
"Street Vendors","31"
"Automotive","29"
"Chicken Shop","29"
"Imported Food","29"
"Waffles","28"
"Cantonese","26"
"Fondue","26"
"African","25"
"Car Dealers","24"
"Turkish","24"
"Jazz & Blues","23"
"Gelato","22"
"Hot Pot","22"
"Butcher","21"
"New Mexican Cuisine","21"
"Portuguese","21"
"Szechuan","20"
"Beer Gardens","19"
"Peruvian","19"
"Chocolatiers & Shops","18"
"Do-It-Yourself Food","18"
"Health Markets","18"
"Moroccan","18"
"Kosher","16"
"Mongolian","16"
"Pasta Shops","16"
"Shaved Ice","16"
"Falafel","15"
"Salvadoran","15"
"Teppanyaki","15"
"Arabian","14"
"Argentine","14"
"Beer Garden","14"
"Colombian","14"
"Home Services","14"
"Malaysian","14"
"Polish","14"
"Afghan","13"
"Belgian","13"
"Cupcakes","13"
"Delicatessen","13"
"Ethiopian","13"
"Hookah Bars","13"
"Internet Cafes","13"
"Poutineries","13"
"Shopping Centers","13"
"Venezuelan","13"
"Whiskey Bars","13"
"Swabian","12"
"Coffee Roasteries","11"
"Education","11"
"Fashion","11"
"Arcades","10"
"Bowling","10"
"Pretzels","10"
"Seafood Markets","10"
"Basque","9"
"Cinema","9"
"Cuban","9"
"Food Court","9"
"Golf","9"
"Himalayan/Nepalese","9"
"International","9"
"Real Estate","9"
"Russian","9"
"Tacos","9"
"Amusement Parks","8"
"Beauty & Spas","8"
"Cambodian","8"
