"name","freq"
"Nightlife","1762"
"Food","1698"
"Bars","1693"
"American (New)","1469"
"American (Traditional)","1287"
"Breakfast & Brunch","1168"
"Sandwiches","816"
"Pizza","777"
"Italian","769"
"Mexican","719"
"Burgers","697"
"Japanese","589"
"Chinese","580"
"Seafood","520"
"Sushi Bars","513"
"Asian Fusion","474"
"Steakhouses","451"
"Coffee & Tea","395"
"Cafes","394"
"Pubs","345"
"Fast Food","339"
"Event Planning & Services","338"
"Salad","328"
"Barbeque","320"
"Thai","299"
"Vegetarian","294"
"Mediterranean","288"
"Wine Bars","262"
"Desserts","250"
"Buffets","246"
"Sports Bars","238"
"Bakeries","228"
"Beer","221"
"Wine & Spirits","221"
"Arts & Entertainment","217"
"Specialty Food","216"
"French","215"
"Diners","207"
"Lounges","197"
"Gastropubs","191"
"Vietnamese","187"
"Canadian (New)","186"
"Chicken Wings","185"
"Caterers","184"
"Vegan","180"
"Cocktail Bars","176"
"Delis","176"
"Korean","164"
"Indian","159"
"Gluten-Free","158"
"Greek","154"
"Comfort Food","139"
"Southern","120"
"Middle Eastern","118"
"Tapas/Small Plates","118"
"Breweries","114"
"Soup","102"
"Tex-Mex","102"
"Juice Bars & Smoothies","97"
"Tapas Bars","97"
"Venues & Event Spaces","96"
"Latin American","93"
"Music Venues","88"
"Noodles","88"
"Ethnic Food","84"
"Ice Cream & Frozen Yogurt","84"
"Food Delivery Services","82"
"Cajun/Creole","81"
"Hotels & Travel","78"
"Dim Sum","77"
"Hawaiian","76"
"British","74"
"Beer Bar","66"
"Ramen","66"
"Hot Dogs","64"
"Hotels","64"
"Irish","60"
"Soul Food","55"
"Casinos","53"
"Grocery","52"
"Creperies","51"
"Caribbean","48"
"German","48"
"Bagels","47"
"Spanish","46"
"Local Flavor","43"
"Halal","40"
"Pakistani","40"
"Active Life","39"
"Shopping","36"
"Brasseries","35"
"Dance Clubs","35"
"Dive Bars","35"
"Taiwanese","35"
"Cheesesteaks","33"
"Filipino","31"
"Poutineries","31"
"Brazilian","29"
"Fish & Chips","29"
"Karaoke","29"
"Food Trucks","28"
"Cantonese","25"
"Imported Food","25"
"Modern European","24"
"Jazz & Blues","23"
"Bubble Tea","22"
"Chicken Shop","22"
"Cuban","22"
"Smokehouse","22"
"Lebanese","21"
"Turkish","21"
"Automotive","20"
"Food Stands","20"
"Mongolian","20"
"Tea Rooms","20"
"African","19"
"Live/Raw Food","19"
"Afghan","18"
"Car Dealers","18"
"Health Markets","18"
"Fondue","17"
"Bistros","16"
"Chocolatiers & Shops","16"
"Donuts","16"
"Ethiopian","16"
"Malaysian","16"
"Resorts","16"
"Szechuan","16"
"Hot Pot","15"
"Party & Event Planning","15"
"Pasta Shops","15"
"Social Clubs","15"
"Polish","14"
"Portuguese","14"
"Beer Garden","13"
"Internet Cafes","13"
"Peruvian","13"
"Shopping Centers","13"
"Belgian","12"
"Golf","12"
"Irish Pub","12"
"Waffles","12"
"Beer Gardens","11"
"Farmers Market","11"
"New Mexican Cuisine","11"
"Persian/Iranian","11"
"Cinema","10"
"Food Court","10"
"Performing Arts","10"
"Seafood Markets","10"
"Tacos","10"
"Arcades","9"
"Beauty & Spas","9"
"Delicatessen","9"
"Fashion","9"
"Laotian","9"
"Amusement Parks","8"
"Meat Shops","8"
"Organic Stores","8"
"Scottish","8"
"Street Vendors","8"
"Teppanyaki","8"
"Venezuelan","8"
"Airports","7"
"Day Spas","7"
"Gelato","7"
"Piano Bars","7"
"Salvadoran","7"
"Whiskey Bars","7"
"Argentine","6"
"Basque","6"
"Do-It-Yourself Food","6"
"Falafel","6"
"Himalayan/Nepalese","6"
"Indonesian","6"
"Moroccan","6"
"Outlet Stores","6"
"Patisserie/Cake Shop","6"
"Poke","6"
"Russian","6"
"Scandinavian","6"
"Ukrainian","6"
"Bowling","5"
"Butcher","5"
"Fruits & Veggies","5"
"Hookah Bars","5"
"Kids Activities","5"
"Kosher","5"
"Macarons","5"
"Pool Halls","5"
"Swabian","5"
"Acai Bowls","4"
"Champagne Bars","4"
"Cheese Shops","4"
"Cupcakes","4"
"Health Retreats","4"
"Musicians","4"
"Pretzels","4"
"Public Services & Government","4"
"Shaved Ice","4"
"Singaporean","4"
"Adult Entertainment","3"
"Cambodian","3"
"Convenience Stores","3"
"Curry Sausage","3"
"Empanadas","3"
"Health & Medical","3"
"Home & Garden","3"
"Home Services","3"
"International Grocery","3"
"Landmarks & Historical Buildings","3"
"Museums","3"
"Real Estate","3"
"Religious Organizations","3"
"Speakeasies","3"
"Swimming Pools","3"
"Tours","3"
"Wedding Planning","3"
"Wineries","3"
"Zoos","3"
"Arabian","2"
"Art Galleries","2"
"Austrian","2"
"Bavarian","2"
"Botanical Gardens","2"
"Car Wash","2"
"Colombian","2"
"Cooking Schools","2"
"Cultural Center","2"
"Department Stores","2"
"Education","2"
"Flea Markets","2"
"Flowers & Gifts","2"
"Gas & Service Stations","2"
"Gay Bars","2"
"Hair Salons","2"
"Hobby Shops","2"
"Hungarian","2"
"International","2"
"Kebab","2"
"Leisure Centers","2"
"Local Services","2"
"Recreation Centers","2"
"Specialty Schools","2"
"Sporting Goods","2"
"Sports Wear","2"
"Tuscan","2"
"Wigs","2"
"Antiques","1"
"Appliances","1"
"Appliances & Repair","1"
"Arts & Crafts","1"
"Baby Gear & Furniture","1"
"Bed & Breakfast","1"
"Beverage Store","1"
"Blow Dry/Out Services","1"
"Burmese","1"
"Cafeteria","1"
"Candy Stores","1"
"Cardiologists","1"
"Castles","1"
"Coffee Roasteries","1"
"Coffeeshops","1"
"Comedy Clubs","1"
"Cosmetics & Beauty Supply","1"
"Country Dance Halls","1"
"Custom Cakes","1"
"DJs","1"
"Doctors","1"
"Donairs","1"
"Drugstores","1"
"Escape Games","1"
"Ethnic Grocery","1"
"Furniture Stores","1"
"Gift Shops","1"
