"name","freq"
"Nightlife","655"
"Bars","635"
"American (Traditional)","542"
"Food","535"
"American (New)","490"
"Breakfast & Brunch","363"
"Mexican","354"
"Italian","303"
"Burgers","282"
"Pizza","265"
"Sandwiches","252"
"Chinese","220"
"Japanese","188"
"Seafood","180"
"Steakhouses","178"
"Sushi Bars","177"
"Fast Food","166"
"Asian Fusion","165"
"Event Planning & Services","146"
"Sports Bars","125"
"Buffets","120"
"Cafes","115"
"Barbeque","110"
"Salad","102"
"Desserts","99"
"Thai","96"
"Pubs","95"
"Coffee & Tea","91"
"Arts & Entertainment","89"
"Beer","81"
"Wine & Spirits","81"
"Chicken Wings","78"
"Caterers","75"
"Diners","75"
"Bakeries","68"
"Wine Bars","68"
"Vegetarian","67"
"Cocktail Bars","66"
"Mediterranean","66"
"Gluten-Free","64"
"French","63"
"Lounges","60"
"Vietnamese","60"
"Korean","59"
"Gastropubs","54"
"Indian","51"
"Delis","50"
"Specialty Food","50"
"Canadian (New)","49"
"Tex-Mex","49"
"Venues & Event Spaces","45"
"Vegan","39"
"Soup","36"
"Southern","35"
"Tapas/Small Plates","35"
"Breweries","34"
"Greek","34"
"Dim Sum","33"
"Hotels & Travel","32"
"Casinos","31"
"Music Venues","31"
"Juice Bars & Smoothies","28"
"Bagels","25"
"Comfort Food","25"
"Latin American","25"
"Noodles","25"
"Hotels","24"
"Dance Clubs","23"
"Hot Dogs","22"
"Middle Eastern","22"
"Soul Food","22"
"Cheesesteaks","20"
"Food Delivery Services","20"
"Irish","20"
"Taiwanese","20"
"Tapas Bars","20"
"Ice Cream & Frozen Yogurt","19"
"Active Life","17"
"Beer Bar","17"
"Cajun/Creole","17"
"Ethnic Food","17"
"German","17"
"Ramen","17"
"Fish & Chips","14"
"Hawaiian","14"
"Spanish","14"
"Brasseries","13"
"Cantonese","13"
"Brazilian","12"
"Chicken Shop","12"
"Grocery","12"
"Creperies","11"
"British","10"
"Dive Bars","10"
"Food Trucks","10"
"Karaoke","10"
"African","9"
"Beer Gardens","9"
"Caribbean","9"
"Halal","9"
"Party & Event Planning","9"
"Belgian","8"
"Filipino","8"
"Lebanese","8"
"Pakistani","8"
"Poutineries","8"
"Shopping","8"
"Fondue","7"
"Local Flavor","7"
"Modern European","7"
"Street Vendors","7"
"Bowling","6"
"Food Stands","6"
"Imported Food","6"
"Resorts","6"
"Social Clubs","6"
"Turkish","6"
"Waffles","6"
"Basque","5"
"Bistros","5"
"Cinema","5"
"Do-It-Yourself Food","5"
"Donuts","5"
"Hookah Bars","5"
"Meat Shops","5"
"New Mexican Cuisine","5"
"Performing Arts","5"
"Portuguese","5"
"Teppanyaki","5"
"Arcades","4"
"Falafel","4"
"Food Court","4"
"Hot Pot","4"
"Jazz & Blues","4"
"Local Services","4"
"Malaysian","4"
"Persian/Iranian","4"
"Pool Halls","4"
"Russian","4"
"Shopping Centers","4"
"Szechuan","4"
"Tea Rooms","4"
"Tuscan","4"
"Airports","3"
"Amusement Parks","3"
"Automotive","3"
"Beer Garden","3"
"Bubble Tea","3"
"Butcher","3"
"Chocolatiers & Shops","3"
"Farmers Market","3"
"Fashion","3"
"Kosher","3"
"Macarons","3"
"Outlet Stores","3"
"Seafood Markets","3"
"Smokehouse","3"
"Animal Shelters","2"
"Arabian","2"
"Beauty & Spas","2"
"Car Dealers","2"
"Champagne Bars","2"
"Community Service/Non-Profit","2"
"Country Dance Halls","2"
"Couriers & Delivery Services","2"
"Cupcakes","2"
"Festivals","2"
"Fruits & Veggies","2"
"Gay Bars","2"
"Golf","2"
"Hair Salons","2"
"Himalayan/Nepalese","2"
"Horseback Riding","2"
"Hotel bar","2"
"Landmarks & Historical Buildings","2"
"Makeup Artists","2"
"Nail Salons","2"
"Pasta Shops","2"
"Peruvian","2"
"Pets","2"
"Poke","2"
"Polish","2"
"Public Services & Government","2"
"South African","2"
"Swabian","2"
"Swimming Pools","2"
"Tacos","2"
"Ukrainian","2"
"Vacation Rentals","2"
"Whiskey Bars","2"
"Wigs","2"
"Zoos","2"
"Acai Bowls","1"
"Adult Entertainment","1"
"Afghan","1"
"Argentine","1"
"Austrian","1"
"Bangladeshi","1"
"Bavarian","1"
"Cambodian","1"
"Cheese Shops","1"
"Coffeeshops","1"
"Colombian","1"
"Comedy Clubs","1"
"Convenience Stores","1"
"Cuban","1"
"Curry Sausage","1"
"Custom Cakes","1"
"Delicatessen","1"
"Dinner Theater","1"
"Empanadas","1"
"Flea Markets","1"
"Gas & Service Stations","1"
"Gelato","1"
"Health Markets","1"
"Indonesian","1"
"Internet Cafes","1"
"Kids Activities","1"
"Laotian","1"
"Mini Golf","1"
"Mongolian","1"
"Moroccan","1"
"Organic Stores","1"
"Patisserie/Cake Shop","1"
"Piano Bars","1"
"RV Parks","1"
"Scandinavian","1"
"Scottish","1"
"Shanghainese","1"
"Singaporean","1"
"Ski Resorts","1"
"Stadiums & Arenas","1"
"Tabletop Games","1"
"Tours","1"
"Udon","1"
"Uzbek","1"
"Wedding Chapels","1"
"Wraps","1"
