"name","freq"
"Nightlife","686"
"Bars","668"
"American (Traditional)","595"
"Food","516"
"American (New)","444"
"Breakfast & Brunch","342"
"Burgers","342"
"Pizza","333"
"Mexican","327"
"Sandwiches","312"
"Italian","293"
"Fast Food","278"
"Chinese","267"
"Japanese","206"
"Sushi Bars","198"
"Seafood","191"
"Sports Bars","187"
"Steakhouses","185"
"Buffets","153"
"Asian Fusion","141"
"Chicken Wings","141"
"Event Planning & Services","135"
"Cafes","119"
"Arts & Entertainment","117"
"Pubs","109"
"Barbeque","107"
"Salad","102"
"Diners","98"
"Thai","90"
"Desserts","79"
"Beer","78"
"Coffee & Tea","78"
"Wine & Spirits","78"
"Lounges","76"
"Mediterranean","74"
"Cocktail Bars","65"
"Indian","65"
"Wine Bars","63"
"Delis","62"
"Caterers","61"
"Canadian (New)","59"
"Gastropubs","59"
"Vegetarian","55"
"Bakeries","54"
"Korean","54"
"Specialty Food","47"
"Gluten-Free","45"
"Tex-Mex","45"
"Hotels & Travel","43"
"French","42"
"Southern","42"
"Vietnamese","42"
"Greek","41"
"Casinos","39"
"Music Venues","39"
"Hotels","37"
"Soup","36"
"Middle Eastern","35"
"Vegan","32"
"Venues & Event Spaces","32"
"Comfort Food","31"
"Dance Clubs","30"
"Juice Bars & Smoothies","30"
"Breweries","29"
"Cajun/Creole","28"
"Ethnic Food","28"
"Food Delivery Services","28"
"Ice Cream & Frozen Yogurt","27"
"Tapas/Small Plates","27"
"Hot Dogs","26"
"Soul Food","23"
"Pakistani","22"
"Tapas Bars","22"
"Bagels","21"
"Dim Sum","20"
"Latin American","20"
"Halal","18"
"Hawaiian","17"
"Taiwanese","17"
"Active Life","16"
"Resorts","16"
"Spanish","16"
"Fish & Chips","15"
"Party & Event Planning","15"
"Noodles","14"
"Ramen","13"
"African","12"
"Chicken Shop","12"
"German","12"
"Brazilian","11"
"Irish","11"
"Social Clubs","11"
"Waffles","11"
"Cantonese","10"
"Caribbean","10"
"Creperies","10"
"Dive Bars","10"
"Filipino","10"
"Jazz & Blues","10"
"Shopping","10"
"Szechuan","10"
"Arcades","9"
"Cheesesteaks","9"
"Karaoke","9"
"Local Flavor","9"
"Beer Bar","8"
"British","8"
"Food Trucks","8"
"Grocery","8"
"Local Services","8"
"New Mexican Cuisine","8"
"Persian/Iranian","8"
"Do-It-Yourself Food","7"
"Food Stands","7"
"Imported Food","7"
"Modern European","7"
"Mongolian","7"
"Performing Arts","7"
"Portuguese","7"
"Beauty & Spas","6"
"Belgian","6"
"Bowling","6"
"Donuts","6"
"Tea Rooms","6"
"Teppanyaki","6"
"Day Spas","5"
"Golf","5"
"Kosher","5"
"Lebanese","5"
"Seafood Markets","5"
"Bubble Tea","4"
"Cuban","4"
"Falafel","4"
"Hookah Bars","4"
"Poutineries","4"
"Turkish","4"
"Afghan","3"
"Basque","3"
"Beer Garden","3"
"Brasseries","3"
"Cinema","3"
"Fondue","3"
"Gelato","3"
"Hot Pot","3"
"International","3"
"Malaysian","3"
"Pasta Shops","3"
"Pool Halls","3"
"Smokehouse","3"
"Street Vendors","3"
"Whiskey Bars","3"
"Adult Entertainment","2"
"Amusement Parks","2"
"Arabian","2"
"Colombian","2"
"Delicatessen","2"
"Ethiopian","2"
"Fashion","2"
"Food Court","2"
"Gay Bars","2"
"Health Markets","2"
"Home & Garden","2"
"Internet Cafes","2"
"Kebab","2"
"Live/Raw Food","2"
"Meat Shops","2"
"Mini Golf","2"
"Organic Stores","2"
"Peruvian","2"
"Piano Bars","2"
"Pretzels","2"
"Printing Services","2"
"Puerto Rican","2"
"Screen Printing","2"
"Tobacco Shops","2"
"Wedding Planning","2"
"Wineries","2"
"Airports","1"
"Animal Shelters","1"
"Appliances","1"
"Appliances & Repair","1"
"Arts & Crafts","1"
"Automotive","1"
"Bartenders","1"
"Bavarian","1"
"Beer Gardens","1"
"Beer Hall","1"
"Bistros","1"
"Books","1"
"Cambodian","1"
"Car Dealers","1"
"Cardiologists","1"
"Chocolatiers & Shops","1"
"Coffee Roasteries","1"
"Community Service/Non-Profit","1"
"Convenience Stores","1"
"Cooking Classes","1"
"Country Dance Halls","1"
"Couriers & Delivery Services","1"
"Czech","1"
"DJs","1"
"Doctors","1"
"Dominican","1"
"Donairs","1"
"Electronics","1"
"Farmers Market","1"
"Fitness & Instruction","1"
"Florists","1"
"Flowers & Gifts","1"
"Fruits & Veggies","1"
"Fur Clothing","1"
"Furniture Repair","1"
"Furniture Stores","1"
"Hakka","1"
"Health & Medical","1"
"Hong Kong Style Cafe","1"
"Horseback Riding","1"
"Hospitals","1"
"Hostels","1"
"Hungarian","1"
"Irish Pub","1"
"Kids Activities","1"
"Landmarks & Historical Buildings","1"
"Laser Tag","1"
"Leisure Centers","1"
"Mags","1"
"Moroccan","1"
"Museums","1"
"Music & Video","1"
"Nail Salons","1"
"Opera & Ballet","1"
"Outlet Stores","1"
"Pan Asian","1"
"Pediatricians","1"
"Personal Chefs","1"
"Pets","1"
"Pilates","1"
"Playgrounds","1"
"Poke","1"
"Public Services & Government","1"
"Salvadoran","1"
"Scottish","1"
"Shaved Ice","1"
"Shopping Centers","1"
"Singaporean","1"
"Sporting Goods","1"
"Swabian","1"
"Tacos","1"
"Toy Stores","1"
"Vacation Rentals","1"
"Videos & Video Game Rental","1"
"Wigs","1"
"Zoos","1"
